WMO Region;Country;Station;Latitude;Longitude;Elevation;WMO Index
Europe;Russian Federation;VERHNIJ BASKUNCHAK;48.2166666667;46.7333333333;33.63;0-20000-0-34579
Europe;Jordan;GHOR SAFI;31.0333333333;35.4666666667;null;0-20000-0-40296
Europe;Russian Federation;NIZHNIJ NOVGOROD;56.2666666667;44;161.1;0-20000-0-27459
Europe;Norway;FRUHOLMEN LH;71.0933333333;23.9816666667;13;0-20000-0-01055
Europe;Finland;ROVANIEMI AIRPORT;66.5625;25.8219444444;193;0-20000-0-02845
Europe;Czech Republic;TUSIMICE;50.3766666667;13.3280555556;322.4;0-20000-0-11438
Europe;Azerbaijan;SHAMKIR GYOL-GYOL;40.5;45.8833333333;2475;0-20000-0-37813
Europe;Iceland;DALVIK;65.97395;-18.52567;4;0-20000-0-04161
Europe;Spain;ALICANTE;38.3725;-0.4941666667;81;0-20000-0-08359
Europe;Germany;PELZERHAKEN;54.0891666667;10.8772222222;1;0-20000-0-10152
Europe;Romania;BLAJ;46.1784379811;23.9351792246;337;0-20000-0-15209
Europe;Jordan;AQABA AIRPORT;29.55;35;53;0-20000-0-40340
Europe;Switzerland;HAERKINGEN;47.3119444444;7.8202777778;430.9;0-20000-0-06905
Europe;Spain;ALICANTE/EL ALTET;38.2827777778;-0.5708333333;43;0-20000-0-08360
Europe;Austria;LOFER;47.5844444444;12.6952777778;622;0-20000-0-11140
Europe;Russian Federation;KONSTANTINOVSK;47.5833333333;41.1;63.32;0-20000-0-34644
Europe;Russian Federation;TSIMLJANSK;47.6333333333;42.1166666667;64.04;0-20000-0-34646
Europe;Netherlands;VLISSINGEN AWS;51.4413888889;3.5958333333;8.03;0-20000-0-06310
Europe;Germany;MICHELSTADT-VIELBRUNN;49.7177777778;9.0997222222;453;0-20000-0-10648
Europe;Austria;BISCHOFSHOFEN;47.4066666667;13.2211111111;549.9;0-20000-0-11141
Europe;Czech Republic;KOCELOVICE;49.4672222222;13.8386111111;519;0-20000-0-11487
Europe;Bulgaria;ROJEN;41.8833333333;24.7333333333;1754;0-20000-0-15726
Europe;Russian Federation;KRASNYJ HOLM;58.0333333333;37.1;166;0-20000-0-27215
Europe;Russian Federation;BUJ;58.4833333333;41.5333333333;102;0-20000-0-27242
Europe;United Kingdom (the);ST BEES HEAD NO.2;54.5177777778;-3.6147222222;124;0-20000-0-03210
Europe;United Kingdom (the);NORTHOLT;51.5486111111;-0.4169444444;37.8;0-20000-0-03672
Europe;Ireland;MALIN HEAD;55.3666666667;-7.3333333333;20;0-20000-0-03980
Europe;Austria;SONNBLICK;47.054444444;12.958055555;3105;0-20000-0-11146
Europe;Slovenia;NOVA GORICA;45.895446637;13.6243092561;55;0-20000-0-14106
Europe;Azerbaijan;MASHTAGA;40.5333333333;50;27;0-20000-0-37860
Europe;Russian Federation;AZOV;47.1166666667;39.4166666667;null;0-20000-0-34723
Europe;Sweden;ORSKAR;60.5261111111;18.3766666667;8.21;0-20000-0-02488
Europe;Finland;OULU OULUNSALO PELLONPAA;64.9369444444;25.3730555556;10;0-20000-0-02851
Europe;Germany;ROSTOCK-WARNEMUENDE;54.180279;12.080806;4;0-20000-0-10170
Europe;Italy;LECCE (16332-0);40.2383333333;18.1388888889;48.96;0-20000-0-16332
